,"SARIMAX(4,1,2)(0,0,0,48) Predictions",VAR(55),AR(55),Test_Sample
2018-03-27 20:00:00,355.0731741341037,207.31547626143276,207.0365330131288,0.0
2018-03-27 20:30:00,352.04164523838693,207.31547652607566,207.03653301299906,0.0
2018-03-27 21:00:00,349.01014525347233,207.31547682699272,207.03653301216005,0.0
2018-03-27 21:30:00,345.9786163577555,207.3154771446328,207.0365330106277,0.0
2018-03-27 22:00:00,342.9471163728409,207.31547748785624,207.03653300842967,0.0
2018-03-27 22:30:00,339.9155874771242,207.3154778364288,207.03653300560504,0.0
2018-03-27 23:00:00,333.85255859649277,207.31547819867802,207.0365330022035,0.0
2018-03-27 23:30:00,333.85255859649277,207.31547855408698,207.0365329982846,0.0
2018-03-28 00:00:00,330.821029700776,207.31547891086342,207.0365329939166,0.0
2018-03-28 00:30:00,327.7895297158614,207.3154792486275,207.0365329891753,0.0
2018-03-28 01:00:00,324.7580008201446,207.31547957588742,207.03653298414278,0.0
2018-03-28 01:30:00,318.69497193951327,207.315479872811,207.0365329789059,0.0
2018-03-28 02:00:00,315.66344304379646,207.31548014860206,207.0365329735549,0.0
2018-03-28 02:30:00,318.69497193951327,207.3154803843503,207.03653296818175,0.0
2018-03-28 03:00:00,321.72647192442787,207.31548059030064,207.0365329628786,0.0
2018-03-28 03:30:00,321.72647192442787,207.31548074877605,207.03653295773623,0.0
2018-03-28 04:00:00,318.69497193951327,207.3154808713341,207.0365329528425,0.0
2018-03-28 04:30:00,318.69497193951327,207.31548094175852,207.03653294828078,0.0
2018-03-28 05:00:00,318.69497193951327,207.315480973099,207.03653294412857,0.0
2018-03-28 05:30:00,318.69497193951327,207.31548095072924,207.03653294045625,0.0
2018-03-28 06:00:00,318.69497193951327,207.31548088926777,207.03653293732577,0.0
2018-03-28 06:30:00,324.7580008201446,207.31548077569917,207.03653293478968,3.0
2018-03-28 07:00:00,330.821029700776,207.31548062617844,207.03653293289022,11.0
2018-03-28 07:30:00,339.9155874771242,207.3154804292148,207.03653293165866,25.0
2018-03-28 08:00:00,352.04164523838693,207.31548020236036,207.03653293111472,68.0
